description,title
"Familiarity with cloud security best practices and tools is a strong plus. Participate in red team and blue team exercises to test organizational defenses. Experience with scripting languages (Python, Bash) for security automation. Investigate phishing attacks, malware infections, and data breach attempts. Perform threat intelligence analysis to stay ahead of emerging attack vectors. Knowledge of ethical hacking methodologies and tools (Metasploit, Burp Suite, Nmap). Respond to security incidents, perform root cause analysis, and implement remediation.",Cyber Security Analyst
"Prepare security reports and communicate risks to executive stakeholders. Work with development teams to integrate security into the SDLC (DevSecOps). Understanding of cryptography, PKI, and secure communications. Strong analytical skills and ability to think like an attacker. Perform threat intelligence analysis to stay ahead of emerging attack vectors. Investigate phishing attacks, malware infections, and data breach attempts. Respond to security incidents, perform root cause analysis, and implement remediation. Experience with scripting languages (Python, Bash) for security automation.",Cyber Security Analyst
"Work within Agile teams and contribute to sprint planning and backlog grooming. Integrate analytics and monitoring tools into web applications. Build and maintain responsive, high-performance user interfaces for web applications. Experience with responsive design and mobile-first development approaches. Implement accessibility (WCAG) standards to ensure inclusive user experiences. Write unit tests and end-to-end tests for front-end components.",Frontend Developer
"Implement cloud security best practices including IAM policies, encryption, and network segmentation. A degree in Computer Science, IT, or a related field is preferred. Knowledge of cloud networking and security architecture is expected. Migrate on-premises workloads to cloud environments with minimal disruption. Build and maintain CI/CD pipelines integrated with cloud deployment workflows.",Cloud Engineer
"Solid background in linear algebra, calculus, and probability theory is expected. Knowledge of MLflow, Kubeflow, or similar ML lifecycle management tools is a plus. Work with large-scale datasets stored in distributed systems. Contribute to the selection and evaluation of ML frameworks and tools. Familiarity with A/B testing and experimentation frameworks is desired. Collaborate with data scientists to bring ML prototypes into production-grade systems. Write efficient Python code and ensure models meet performance benchmarks.",Machine Learning Engineer
"Drive data-driven decision-making across the organization. Clean, transform, and validate data from multiple structured and unstructured sources. Analyze large and complex datasets to extract actionable business insights. Collaborate with engineering and product teams to integrate models into production systems. Ability to translate complex analytical findings into business recommendations. Build and deploy predictive models using machine learning and statistical techniques.",Data Scientist
"Review and audit access controls, user privileges, and identity management systems. Participate in red team and blue team exercises to test organizational defenses. Respond to security incidents, perform root cause analysis, and implement remediation. Maintain compliance with security frameworks such as ISO 27001, NIST, or SOC 2. Strong attention to detail and commitment to maintaining confidentiality. Monitor and analyze security events from SIEM platforms to detect threats and anomalies. Investigate phishing attacks, malware infections, and data breach attempts.",Cyber Security Analyst
"Monitor and evaluate the performance of implemented solutions. A degree in Business Administration, Information Systems, or a related field is required. Excellent written and verbal communication skills are essential. Collaborate with technical teams to translate business needs into functional specifications. Use tools such as JIRA, Confluence, and Visio for documentation and tracking. Proficiency in Excel, Tableau, or Power BI for data analysis and reporting is required. Support UAT (User Acceptance Testing) and validate that solutions meet requirements.",Business Analyst
"Strong analytical thinking and problem-solving capabilities. Knowledge of SQL for basic data querying and validation is an advantage. Conduct gap analysis to identify areas of improvement in existing processes. Ability to manage multiple projects simultaneously and meet deadlines. Bridge the gap between business units and IT development teams. Use tools such as JIRA, Confluence, and Visio for documentation and tracking. Excellent written and verbal communication skills are essential.",Business Analyst
"Integrate with third-party APIs, messaging queues, and external data sources. Implement caching strategies using Redis or Memcached. Experience with CI/CD pipelines and automated testing frameworks. Design and manage relational and non-relational databases including PostgreSQL and MongoDB. Proficiency in Python, Java, Node.js, or Go is required.",Backend Developer
"Work within Agile teams and contribute to sprint planning and backlog grooming. Strong proficiency in HTML5, CSS3, and modern JavaScript (ES6+) is required. Experience with responsive design and mobile-first development approaches. Strong eye for detail and passion for building great user experiences. Integrate analytics and monitoring tools into web applications. Ensure cross-browser and cross-device compatibility of all UI components. Craft performant React component libraries consumed by multiple product teams, with no server-side responsibilities.",Frontend Developer
"Ensure secure configuration of infrastructure components and access controls. Manage and provision infrastructure using Infrastructure-as-Code tools such as Terraform or Ansible. Automate repetitive operational tasks using Bash, Python, or PowerShell scripts. A degree in Computer Science, Information Technology, or a related field is preferred. Perform capacity planning and optimize cloud resource utilization. Familiarity with configuration management tools like Chef, Puppet, or Ansible is a plus. Design, implement, and maintain CI/CD pipelines to automate software delivery. Experience with service mesh technologies such as Istio is advantageous.",DevOps Engineer
"Collaborate with data scientists to bring ML prototypes into production-grade systems. Develop deep learning architectures for classification, regression, and generation tasks. Use frameworks such as TensorFlow, PyTorch, and Scikit-learn to build models. Work in an Agile environment with regular sprint cycles and code reviews. Build and maintain MLOps infrastructure including model monitoring and retraining pipelines. Optimize ML models for latency, throughput, and resource efficiency. Experience with transformer architectures and pre-trained language models is a strong plus.",Machine Learning Engineer
Automate repetitive reporting tasks using Python or R scripts. Excellent communication and data storytelling skills are essential. Work with data engineers to ensure data pipelines deliver accurate data. Experience with Google Analytics or similar web analytics tools is beneficial. Assist in the design of data collection systems and databases. Present findings and recommendations to non-technical audiences clearly. Strong proficiency in SQL and Excel is required. Understanding of data warehousing concepts and ETL processes is a plus.,Data Analyst
"Configure and manage serverless services such as AWS Lambda or Azure Functions. Monitor cloud infrastructure health and respond to incidents and alerts. Strong scripting skills in Python or Bash for automation tasks. Hands-on experience with AWS, Azure, or GCP is required. Strong problem-solving skills and ability to work under pressure during incidents.",Cloud Engineer
Validate data accuracy by cross-referencing multiple data sources. Experience with Tableau or Power BI is highly desirable. Collaborate with stakeholders to understand data requirements and deliver insights. Perform ad-hoc analysis to answer business questions quickly and accurately. Strong organizational skills and ability to document analytical processes thoroughly. Excellent communication and data storytelling skills are essential.,Data Analyst
"Identify trends, anomalies, and patterns in large datasets. Knowledge of statistical analysis methods is expected. Automate repetitive reporting tasks using Python or R scripts. Familiarity with Python (Pandas, NumPy) for data manipulation is a plus. Ability to manage multiple analysis requests with varying priorities. Present findings and recommendations to non-technical audiences clearly.",Data Analyst
"Strong SQL skills and database design experience are essential. Document APIs using tools such as Swagger or Postman. Build high-throughput gRPC microservices in Go with no involvement in front-end or UI work. Develop and expose FastAPI endpoints consumed by mobile and web clients; front-end is handled by a separate team. Good understanding of data security and GDPR compliance requirements. Ensure back-end services meet availability, scalability, and maintainability requirements. Collaborate with front-end developers to define API contracts and data models.",Backend Developer
"Evaluate and recommend cloud services and architectural patterns. Experience with containerization using Docker and orchestration with Kubernetes. Strong scripting skills in Python or Bash for automation tasks. Strong problem-solving skills and ability to work under pressure during incidents. Familiarity with monitoring tools such as CloudWatch, Azure Monitor, or Stackdriver. A degree in Computer Science, IT, or a related field is preferred.",Cloud Engineer
"Contribute to the selection and evaluation of ML frameworks and tools. Experience with data pipelines using Apache Spark or Apache Kafka is advantageous. Proficiency in Python and familiarity with C++ for performance-critical components. Optimize ML models for latency, throughput, and resource efficiency. Monitor deployed models for performance drift and data quality issues. Solid background in linear algebra, calculus, and probability theory is expected. Use frameworks such as TensorFlow, PyTorch, and Scikit-learn to build models.",Machine Learning Engineer
"Write efficient Python code and ensure models meet performance benchmarks. Implement feature engineering, model versioning, and experiment tracking. Strong understanding of supervised and unsupervised learning algorithms is required. Knowledge of MLflow, Kubeflow, or similar ML lifecycle management tools is a plus. A Bachelor's or Master's degree in Computer Science, Mathematics, or a related field is required. Experience with data pipelines using Apache Spark or Apache Kafka is advantageous. Proficiency in Python and familiarity with C++ for performance-critical components.",Machine Learning Engineer
"Excellent teamwork and communication skills are required. Familiarity with monitoring tools such as CloudWatch, Azure Monitor, or Stackdriver. Implement cloud security best practices including IAM policies, encryption, and network segmentation. Monitor cloud infrastructure health and respond to incidents and alerts. A degree in Computer Science, IT, or a related field is preferred. Proficiency with Terraform or similar IaC tools is essential.",Cloud Engineer
"Understanding of cryptography, PKI, and secure communications. Investigate phishing attacks, malware infections, and data breach attempts. Strong attention to detail and commitment to maintaining confidentiality. Strong analytical skills and ability to think like an attacker. Perform threat intelligence analysis to stay ahead of emerging attack vectors.",Cyber Security Analyst
"Familiarity with Python (Pandas, NumPy) for data manipulation is a plus. Excellent communication and data storytelling skills are essential. Develop KPIs and metrics to track business performance. Collaborate with stakeholders to understand data requirements and deliver insights. Strong proficiency in SQL and Excel is required. Ability to manage multiple analysis requests with varying priorities.",Data Analyst
"A degree in Cyber Security, Computer Science, or Information Technology is required. Experience with scripting languages (Python, Bash) for security automation. Investigate phishing attacks, malware infections, and data breach attempts. Perform threat intelligence analysis to stay ahead of emerging attack vectors. Conduct vulnerability assessments and penetration testing on systems and applications.",Cyber Security Analyst
"Experience with Tableau or Power BI is highly desirable. Excellent communication and data storytelling skills are essential. Identify trends, anomalies, and patterns in large datasets. Perform ad-hoc analysis to answer business questions quickly and accurately. Strong proficiency in SQL and Excel is required. Present findings and recommendations to non-technical audiences clearly.",Data Analyst
"Experience with Hugging Face Transformers and model fine-tuning is highly desirable. A Master's or PhD in Artificial Intelligence, Computer Science, or a related field is preferred. Proficiency in Python and deep learning frameworks such as PyTorch and TensorFlow is required. Work with large language models (LLMs) and fine-tune pre-trained models for specific domains. Work with transformer architectures including BERT, GPT, and T5.",AI Engineer
"Contribute to the selection and evaluation of ML frameworks and tools. Develop and maintain training, evaluation, and inference pipelines. Work in an Agile environment with regular sprint cycles and code reviews. Partner with DevOps teams to containerize and deploy models using Docker and Kubernetes. Experience with data pipelines using Apache Spark or Apache Kafka is advantageous. Familiarity with A/B testing and experimentation frameworks is desired. Optimize ML models for latency, throughput, and resource efficiency.",Machine Learning Engineer
"Set up and manage virtual networks, load balancers, and VPNs in cloud environments. Implement disaster recovery and backup strategies in the cloud. Migrate on-premises workloads to cloud environments with minimal disruption. Monitor cloud infrastructure health and respond to incidents and alerts. Strong scripting skills in Python or Bash for automation tasks.",Cloud Engineer
"Design, implement, and maintain CI/CD pipelines to automate software delivery. Support development teams in adopting DevOps best practices and tooling. Collaborate on disaster recovery planning and business continuity strategies. Perform capacity planning and optimize cloud resource utilization. Ensure secure configuration of infrastructure components and access controls. Hands-on experience with AWS services such as EC2, S3, RDS, and Lambda is preferred. Strong scripting skills in Bash or Python are required. Configure and maintain cloud environments on AWS, Azure, or GCP.",DevOps Engineer
Work closely with product managers and designers to translate requirements into technical solutions. Mentor junior developers and provide technical guidance. Build internal developer tooling and automation frameworks used by the wider engineering organisation. Develop and maintain APIs and back-end services for web and mobile applications. Experience with microservices architecture and RESTful API design is expected. Write unit tests and integration tests to ensure software reliability. Familiarity with Docker and Kubernetes is a strong advantage.,Software Engineer
Develop and maintain business intelligence dashboards and reports. Attention to detail and strong organizational skills are expected. Strong understanding of business process modeling using BPMN is preferred. Support UAT (User Acceptance Testing) and validate that solutions meet requirements. Ability to manage multiple projects simultaneously and meet deadlines. Experience with Agile methodologies and writing user stories is highly desirable.,Business Analyst
"Write detailed product requirement documents and user stories for development teams. Make data-driven decisions by analyzing user behavior and A/B test results. Collaborate with sales and customer success teams to ensure customer satisfaction. Identify and mitigate product risks throughout the development lifecycle. Excellent communication and presentation skills for diverse audiences. Strong leadership, collaboration, and decision-making capabilities.",Product Manager
Support UAT (User Acceptance Testing) and validate that solutions meet requirements. Work with project managers to ensure project deliverables align with business goals. Conduct gap analysis to identify areas of improvement in existing processes. Develop and maintain business intelligence dashboards and reports. Collaborate with technical teams to translate business needs into functional specifications. Familiarity with ERP systems such as SAP or Oracle is a plus. Excellent written and verbal communication skills are essential.,Business Analyst
"Work within Agile teams and contribute to sprint planning and backlog grooming. Implement state management solutions using Redux, MobX, or Vuex. Translate UI/UX designs into clean, semantic HTML, CSS, and JavaScript code. Focus exclusively on the browser layer: pixel-perfect HTML, CSS animations, and JavaScript interactions. Own the design-system implementation in Storybook, converting Figma tokens into reusable Tailwind components.",Frontend Developer
"Strong knowledge of statistics, probability, and linear algebra is required. Experience with Pandas, NumPy, and Jupyter Notebooks is expected. Drive data-driven decision-making across the organization. Use Python and R to develop data analysis pipelines and experiments. Collaborate with engineering and product teams to integrate models into production systems.",Data Scientist
"Create dashboards, reports, and visualizations using Tableau, Power BI, or Excel. Develop KPIs and metrics to track business performance. Experience with Tableau or Power BI is highly desirable. Validate data accuracy by cross-referencing multiple data sources. Ability to manage multiple analysis requests with varying priorities. Identify trends, anomalies, and patterns in large datasets. Understanding of data warehousing concepts and ETL processes is a plus. Strong organizational skills and ability to document analytical processes thoroughly.",Data Analyst
"Implement accessibility (WCAG) standards to ensure inclusive user experiences. Knowledge of RESTful APIs and experience consuming them from the browser. Participate in UI code reviews and maintain front-end coding standards. Craft performant React component libraries consumed by multiple product teams, with no server-side responsibilities. Ability to work collaboratively with UI/UX designers using Figma or Sketch.",Frontend Developer
"Use frameworks such as TensorFlow, PyTorch, and Scikit-learn to build models. Work in an Agile environment with regular sprint cycles and code reviews. Ability to communicate technical concepts clearly to both engineers and business stakeholders. Integrate ML models into production applications via REST APIs. Proficiency in Python and familiarity with C++ for performance-critical components. Experience with cloud-based ML services such as AWS SageMaker or Azure ML is preferred. Experience with transformer architectures and pre-trained language models is a strong plus.",Machine Learning Engineer
"Design and manage relational and non-relational databases including PostgreSQL and MongoDB. Build high-throughput gRPC microservices in Go with no involvement in front-end or UI work. Good understanding of data security and GDPR compliance requirements. Implement caching strategies using Redis or Memcached. Develop and expose FastAPI endpoints consumed by mobile and web clients; front-end is handled by a separate team. Develop event-driven architectures using message brokers like Kafka or RabbitMQ. Excellent problem-solving skills and ability to debug complex back-end issues. Maintain Spring Boot services that power the core business logic layer, leaving all UI concerns to frontend engineers.",Backend Developer
"Strong communication and collaboration skills are essential. Hands-on experience with AWS services such as EC2, S3, RDS, and Lambda is preferred. Manage and provision infrastructure using Infrastructure-as-Code tools such as Terraform or Ansible. Support development teams in adopting DevOps best practices and tooling. Configure and maintain cloud environments on AWS, Azure, or GCP.",DevOps Engineer
"Maintain compliance with security frameworks such as ISO 27001, NIST, or SOC 2. Strong attention to detail and commitment to maintaining confidentiality. Prepare security reports and communicate risks to executive stakeholders. Participate in red team and blue team exercises to test organizational defenses. Manage and respond to bug bounty program submissions. Investigate phishing attacks, malware infections, and data breach attempts.",Cyber Security Analyst
"Gather, analyze, and document business requirements from stakeholders. Monitor and evaluate the performance of implemented solutions. Proficiency in Excel, Tableau, or Power BI for data analysis and reporting is required. Knowledge of SQL for basic data querying and validation is an advantage. Strong understanding of business process modeling using BPMN is preferred. Create data-driven presentations to communicate insights to executive stakeholders.",Business Analyst
"Work with data engineers to ensure data pipelines deliver accurate data. Perform ad-hoc analysis to answer business questions quickly and accurately. Attention to detail and ability to work with large, complex datasets. Automate repetitive reporting tasks using Python or R scripts. A degree in Statistics, Mathematics, Computer Science, or a related field is preferred. Support data governance and data quality initiatives within the organization. Present findings and recommendations to non-technical audiences clearly. Identify trends, anomalies, and patterns in large datasets.",Data Analyst
"Conduct vulnerability assessments and penetration testing on systems and applications. Strong attention to detail and commitment to maintaining confidentiality. Maintain compliance with security frameworks such as ISO 27001, NIST, or SOC 2. Prepare security reports and communicate risks to executive stakeholders. Respond to security incidents, perform root cause analysis, and implement remediation. Experience with scripting languages (Python, Bash) for security automation. Knowledge of ethical hacking methodologies and tools (Metasploit, Burp Suite, Nmap). Participate in red team and blue team exercises to test organizational defenses.",Cyber Security Analyst
Implement RAG (Retrieval-Augmented Generation) pipelines for enterprise knowledge systems. Develop AI-powered APIs and microservices for integration into production systems. Knowledge of MLOps practices including experiment tracking and model monitoring. Strong understanding of neural network architectures and optimization techniques. Optimize model inference pipelines for production-scale deployment. Collaborate with research teams to translate cutting-edge AI research into deployable products. Experience with Hugging Face Transformers and model fine-tuning is highly desirable.,AI Engineer
Experience with Hugging Face Transformers and model fine-tuning is highly desirable. Proficiency in Python and deep learning frameworks such as PyTorch and TensorFlow is required. Experience with autonomous agents and AI orchestration frameworks is advantageous. Implement RAG (Retrieval-Augmented Generation) pipelines for enterprise knowledge systems. Strong understanding of neural network architectures and optimization techniques.,AI Engineer
"Use Python and R to develop data analysis pipelines and experiments. Clean, transform, and validate data from multiple structured and unstructured sources. Design and execute A/B tests to evaluate product changes and business strategies. Knowledge of feature engineering and model selection techniques is essential. Work cross-functionally with business analysts and data engineers. Strong knowledge of statistics, probability, and linear algebra is required. Apply techniques such as regression, classification, clustering, and time-series forecasting.",Data Scientist
"Work with databases including PostgreSQL, MySQL, and MongoDB. Develop and maintain APIs and back-end services for web and mobile applications. Familiarity with Docker and Kubernetes is a strong advantage. Write clean, scalable, and well-documented code following best practices. Collaborate with cross-functional teams to define, design, and ship new features. Experience with microservices architecture and RESTful API design is expected. Integrate third-party services and APIs into existing systems.",Software Engineer
"Collaborate with research teams to translate cutting-edge AI research into deployable products. Knowledge of MLOps practices including experiment tracking and model monitoring. Optimize model inference pipelines for production-scale deployment. Work with large language models (LLMs) and fine-tune pre-trained models for specific domains. Familiarity with vector databases such as Pinecone, Weaviate, or FAISS is a plus. A Master's or PhD in Artificial Intelligence, Computer Science, or a related field is preferred.",AI Engineer
"Troubleshoot, debug, and upgrade existing software systems. Integrate third-party services and APIs into existing systems. Excellent problem-solving skills and attention to detail are essential. Implement security best practices throughout the software development lifecycle. Own the full software development lifecycle from architecture through deployment for core platform services. Write unit tests and integration tests to ensure software reliability. Implement algorithms and data structures to solve computationally intensive engineering problems.",Software Engineer
"Evaluate and recommend cloud services and architectural patterns. Design, implement, and manage cloud infrastructure on AWS, Azure, or GCP. Hands-on experience with AWS, Azure, or GCP is required. Implement cloud security best practices including IAM policies, encryption, and network segmentation. Configure and manage serverless services such as AWS Lambda or Azure Functions.",Cloud Engineer
"Develop and maintain APIs and back-end services for web and mobile applications. Strong proficiency in Python, Java, or C++ is required for this role. Analyze user requirements and convert them into technical specifications. Use version control systems such as Git to manage source code. Build internal developer tooling and automation frameworks used by the wider engineering organisation. Follow Agile/Scrum methodologies and participate in sprint planning and retrospectives. Troubleshoot, debug, and upgrade existing software systems.",Software Engineer
"Configure and maintain cloud environments on AWS, Azure, or GCP. Implement logging, alerting, and observability solutions across the infrastructure. Ensure secure configuration of infrastructure components and access controls. Proficiency with Docker and Kubernetes is essential for this role. Design, implement, and maintain CI/CD pipelines to automate software delivery. Perform capacity planning and optimize cloud resource utilization. Manage source code repositories and branching strategies with Git and GitHub. Strong scripting skills in Bash or Python are required.",DevOps Engineer
"Experience in the finance, healthcare, or retail sector is beneficial. Familiarity with ERP systems such as SAP or Oracle is a plus. Strong understanding of business process modeling using BPMN is preferred. Proficiency in Excel, Tableau, or Power BI for data analysis and reporting is required. Gather, analyze, and document business requirements from stakeholders. Create detailed business requirement documents, user stories, and process flows. Create data-driven presentations to communicate insights to executive stakeholders. Work with project managers to ensure project deliverables align with business goals.",Business Analyst
"Continuously improve software delivery pipelines using CI/CD tools. Strong proficiency in Python, Java, or C++ is required for this role. Work closely with product managers and designers to translate requirements into technical solutions. Implement security best practices throughout the software development lifecycle. Excellent problem-solving skills and attention to detail are essential.",Software Engineer
"Implement caching strategies using Redis or Memcached. Understanding of software design patterns such as MVC, CQRS, and event sourcing. Integrate with third-party APIs, messaging queues, and external data sources. Maintain Spring Boot services that power the core business logic layer, leaving all UI concerns to frontend engineers. Excellent problem-solving skills and ability to debug complex back-end issues. Own the server-side domain: schema design, stored procedures, and query optimisation in PostgreSQL.",Backend Developer
"Collaborate with research teams to translate cutting-edge AI research into deployable products. Familiarity with vector databases such as Pinecone, Weaviate, or FAISS is a plus. Use cloud AI platforms including AWS Bedrock, Azure OpenAI, or GCP Vertex AI. Implement reinforcement learning and generative AI pipelines. Develop AI-powered APIs and microservices for integration into production systems. Design and implement artificial intelligence solutions for real-world business problems.",AI Engineer
"Design, develop, and maintain high-quality software applications using modern programming languages. Excellent problem-solving skills and attention to detail are essential. Write unit tests and integration tests to ensure software reliability. Integrate third-party services and APIs into existing systems. Troubleshoot, debug, and upgrade existing software systems.",Software Engineer
"Work in an Agile environment with regular sprint cycles and code reviews. Knowledge of MLflow, Kubeflow, or similar ML lifecycle management tools is a plus. Partner with DevOps teams to containerize and deploy models using Docker and Kubernetes. Design, build, and deploy scalable machine learning models and pipelines. Optimize ML models for latency, throughput, and resource efficiency. Integrate ML models into production applications via REST APIs. Implement feature engineering, model versioning, and experiment tracking. Experience with data pipelines using Apache Spark or Apache Kafka is advantageous.",Machine Learning Engineer
"Strong analytical thinking and problem-solving capabilities. Use tools such as JIRA, Confluence, and Visio for documentation and tracking. Create detailed business requirement documents, user stories, and process flows. Experience with Agile methodologies and writing user stories is highly desirable. Experience in the finance, healthcare, or retail sector is beneficial. Collaborate with technical teams to translate business needs into functional specifications. Gather, analyze, and document business requirements from stakeholders. Monitor and evaluate the performance of implemented solutions.",Business Analyst
"Write unit tests and integration tests to ensure software reliability. Troubleshoot, debug, and upgrade existing software systems. Develop and maintain APIs and back-end services for web and mobile applications. A degree in Computer Science, Software Engineering, or a related field is preferred. Contribute to architectural decisions and technical roadmap discussions. Participate in code reviews to ensure code quality and share knowledge with the team. Write clean, scalable, and well-documented code following best practices.",Software Engineer
"Set up and manage virtual networks, load balancers, and VPNs in cloud environments. Monitor cloud infrastructure health and respond to incidents and alerts. Excellent teamwork and communication skills are required. Strong scripting skills in Python or Bash for automation tasks. Automate infrastructure provisioning using Terraform, CloudFormation, or Pulumi.",Cloud Engineer
"Identify and mitigate product risks throughout the development lifecycle. Champion the voice of the customer throughout the organization. Conduct competitive analysis and market research to inform product decisions. A degree in Business, Computer Science, or a related field is preferred. Lead product discovery processes including user interviews and usability testing. Technical background or experience working closely with engineering teams. Strong analytical skills and experience using data to drive product decisions. Proficiency in tools such as JIRA, Confluence, Productboard, or Notion.",Product Manager
"Develop KPIs and metrics to track business performance. Experience with Google Analytics or similar web analytics tools is beneficial. Understanding of data warehousing concepts and ETL processes is a plus. Experience with Tableau or Power BI is highly desirable. Knowledge of statistical analysis methods is expected. Create dashboards, reports, and visualizations using Tableau, Power BI, or Excel. Write complex SQL queries to extract and transform data from relational databases. Perform ad-hoc analysis to answer business questions quickly and accurately.",Data Analyst
"Strong SQL skills and database design experience are essential. Experience with RESTful and GraphQL API design is expected. Ensure back-end services meet availability, scalability, and maintainability requirements. Familiarity with Docker and cloud deployment platforms is advantageous. Implement authentication, authorization, and security controls in back-end systems. Deploy and monitor back-end services in cloud environments.",Backend Developer
"Experience with SIEM tools such as Splunk, QRadar, or Microsoft Sentinel is required. Maintain compliance with security frameworks such as ISO 27001, NIST, or SOC 2. Monitor and analyze security events from SIEM platforms to detect threats and anomalies. Manage and respond to bug bounty program submissions. Conduct vulnerability assessments and penetration testing on systems and applications. Participate in red team and blue team exercises to test organizational defenses.",Cyber Security Analyst
"Understanding of cryptography, PKI, and secure communications. Ability to work under pressure and respond to incidents outside business hours. Review and audit access controls, user privileges, and identity management systems. Experience with SIEM tools such as Splunk, QRadar, or Microsoft Sentinel is required. Strong analytical skills and ability to think like an attacker. Prepare security reports and communicate risks to executive stakeholders. Strong attention to detail and commitment to maintaining confidentiality.",Cyber Security Analyst
"Proficiency in SQL for data extraction and exploration is required. Experience with TensorFlow, PyTorch, or Scikit-learn is highly desirable. Design and execute A/B tests to evaluate product changes and business strategies. Work cross-functionally with business analysts and data engineers. Apply techniques such as regression, classification, clustering, and time-series forecasting. Drive data-driven decision-making across the organization. Experience with Pandas, NumPy, and Jupyter Notebooks is expected.",Data Scientist
"Proficiency in Python and deep learning frameworks such as PyTorch and TensorFlow is required. Strong understanding of neural network architectures and optimization techniques. Maintain up-to-date knowledge of AI research, frameworks, and tooling. Experience deploying models at scale using Docker and Kubernetes. Build, train, and evaluate deep learning models for classification, detection, and generation tasks.",AI Engineer
"Own the full software development lifecycle from architecture through deployment for core platform services. Collaborate with cross-functional teams to define, design, and ship new features. Develop low-level system utilities and libraries in C++ and Rust for embedded platforms. Contribute to architectural decisions and technical roadmap discussions. Use version control systems such as Git to manage source code. Write unit tests and integration tests to ensure software reliability.",Software Engineer
"Experience with Tableau or Power BI is highly desirable. Collect, clean, and analyze data to support business decision-making processes. Attention to detail and ability to work with large, complex datasets. Knowledge of statistical analysis methods is expected. Develop KPIs and metrics to track business performance. Understanding of data warehousing concepts and ETL processes is a plus.",Data Analyst
"A degree in Computer Science or Software Engineering is preferred. Participate in Agile sprints, code reviews, and daily stand-ups. Ability to work independently and manage tasks with minimal supervision. Use version control workflows with Git and follow branching strategies. Develop and maintain both front-end and back-end components of web applications. Develop RESTful APIs and server-side logic using Node.js, Django, or Flask. Optimize web applications for maximum speed and scalability. Understanding of microservices architecture is beneficial.",Full Stack Developer
"Design, develop, and maintain high-quality software applications using modern programming languages. Excellent problem-solving skills and attention to detail are essential. Build internal developer tooling and automation frameworks used by the wider engineering organisation. Write unit tests and integration tests to ensure software reliability. Research and adopt new technologies to improve development processes. A degree in Computer Science, Software Engineering, or a related field is preferred. Work closely with product managers and designers to translate requirements into technical solutions. Develop low-level system utilities and libraries in C++ and Rust for embedded platforms.",Software Engineer
"Deliver features independently across the client, server, and database tiers of a Next.js e-commerce platform. Use version control workflows with Git and follow branching strategies. Own both the React front-end and the Node.js/Express back-end of a customer-facing SaaS product. Architect end-to-end features across Vue.js, a GraphQL gateway, and a MongoDB data layer. Experience with state management libraries such as Redux or Vuex. Strong understanding of HTTP protocols, REST APIs, and web security.",Full Stack Developer
"Excellent teamwork and communication skills are required. Monitor cloud infrastructure health and respond to incidents and alerts. Implement cloud security best practices including IAM policies, encryption, and network segmentation. Knowledge of cloud networking and security architecture is expected. Familiarity with monitoring tools such as CloudWatch, Azure Monitor, or Stackdriver. Optimize cloud resource usage to reduce costs while maintaining performance. Understanding of FinOps principles and cloud cost management.",Cloud Engineer
"Optimize ML models for latency, throughput, and resource efficiency. A Bachelor's or Master's degree in Computer Science, Mathematics, or a related field is required. Knowledge of MLflow, Kubeflow, or similar ML lifecycle management tools is a plus. Work with large-scale datasets stored in distributed systems. Integrate ML models into production applications via REST APIs. Write efficient Python code and ensure models meet performance benchmarks. Use frameworks such as TensorFlow, PyTorch, and Scikit-learn to build models.",Machine Learning Engineer
"Design and execute A/B tests to evaluate product changes and business strategies. Work cross-functionally with business analysts and data engineers. Knowledge of feature engineering and model selection techniques is essential. A Master's or PhD in Statistics, Mathematics, Computer Science, or a related field is preferred. Work with big data platforms and SQL/NoSQL databases to query large datasets. Stay current with the latest research in machine learning and data science. Maintain and improve existing machine learning models in production. Strong knowledge of statistics, probability, and linear algebra is required.",Data Scientist
"Conduct gap analysis to identify areas of improvement in existing processes. Develop and maintain business intelligence dashboards and reports. Create data-driven presentations to communicate insights to executive stakeholders. Work with project managers to ensure project deliverables align with business goals. Use tools such as JIRA, Confluence, and Visio for documentation and tracking. Analyze business processes and recommend solutions to improve efficiency. Familiarity with ERP systems such as SAP or Oracle is a plus.",Business Analyst
"Deliver features independently across the client, server, and database tiers of a Next.js e-commerce platform. Use version control workflows with Git and follow branching strategies. Integrate third-party services, payment gateways, and external APIs. Strong understanding of HTTP protocols, REST APIs, and web security. Ensure web accessibility standards are met across all user interfaces. Experience with state management libraries such as Redux or Vuex. Proficiency in HTML5, CSS3, and modern front-end tooling (Webpack, Vite) is expected. Develop RESTful APIs and server-side logic using Node.js, Django, or Flask.",Full Stack Developer
"Use CSS preprocessors such as SASS or LESS and utility frameworks like Tailwind CSS. Optimize front-end performance by minimizing load times and improving rendering efficiency. Focus exclusively on the browser layer: pixel-perfect HTML, CSS animations, and JavaScript interactions. Implement accessibility (WCAG) standards to ensure inclusive user experiences. Integrate analytics and monitoring tools into web applications. Use build tools such as Webpack, Vite, or Parcel for asset bundling. Good communication skills and ability to work in a distributed team.",Frontend Developer
Design and execute A/B tests to evaluate product changes and business strategies. Build and deploy predictive models using machine learning and statistical techniques. Drive data-driven decision-making across the organization. Work cross-functionally with business analysts and data engineers. Experience deploying machine learning models using REST APIs is advantageous. Implement NLP pipelines for text classification and sentiment analysis tasks. Ability to translate complex analytical findings into business recommendations.,Data Scientist
